Vernier Format 2
Sin título.cmbl 8/05/2025 11:49:01 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.4512165	0.269064444444	-1.17674407407	0.261799387799	5.56566105914	-1.92955845081
0.1	0.4663085	0.218567222222	-1.37836773148	0.541052068118	5.50263528059	-2.85393653613
0.15	0.47677	0.140229833333	-1.58573981481	0.820304748437	5.3407075111	-3.98678450433
0.2	0.480886	0.0509736111111	-1.63391861111	1.08210413624	5.07115110441	-4.49637755136
0.25	0.4810575	-0.0303936111111	-1.53192904321	1.32645023152	4.80935171661	-3.5978561957
0.3	0.4776275	-0.103948055556	-1.3583858642	1.55334303427	4.71238898038	-2.64923742633
0.35	0.4704245	-0.168832222222	-1.12882993827	1.79768912955	4.62512251778	-3.01123164156
0.4	0.459963	-0.217423888889	-0.89439367284	2.02458193231	4.40210822447	-3.28057257551
0.45	0.4481295	-0.253724722222	-0.739514351852	2.23402144255	4.2372715729	-2.55335205384
0.5	0.4347525	-0.289644444444	-0.61268904321	2.44346095279	4.15970138392	-1.9230942684
0.55	0.4189745	-0.319180555556	-0.411123611111	2.65290046303	4.05304237408	-1.41673331258
0.6	0.4021675	-0.334043888889	-0.146039660494	2.84488668075	4.01425727959	-0.888825082036
0.65	0.384846	-0.33271	0.111951388889	3.05432619099	3.98516845872	-0.721833702984
0.7	0.3685535	-0.320895555556	0.346969907407	3.24631240871	3.91729454337	-0.226246384515
0.75	0.352604	-0.301077777778	0.634338271605	3.43829862643	3.9754721851	-0.0377077307515
0.8	0.337512	-0.260775277778	0.96812808642	3.64773813667	3.96577591148	-0.764928252418
0.85	0.325507	-0.199130555556	1.20002361111	3.83972435439	3.87850944888	-1.308996939
0.9	0.317618	-0.134055833333	1.28969058642	4.03171057211	3.83002808077	-1.91770744972
0.95	0.31213	-0.0681236111111	1.30398225309	4.22369678983	3.74276161817	-3.38830894909
1	0.3105865	-0.000190555555556	1.23109475309	4.41568300755	3.48096223037	-4.47644632224
1.05	0.312473	0.0595486111111	1.0759507716	4.57276264023	3.19977029532	-3.61994215228
1.1	0.317275	0.105567777778	0.955847839506	4.7298422729	3.04462991737	-1.18510010938
1.15	0.323106	0.148919166667	0.946425925926	4.86946861306	3.06402246461	1.59988514766
1.2	0.331681	0.199702222222	0.950025308642	5.02654824574	3.2773404843	3.00584482288
1.25	0.3431715	0.248389166667	0.873062037037	5.20108117094	3.44217713588	2.95736345477
1.3	0.3568915	0.289644444444	0.735015123457	5.37561409614	3.5391398721	3.41524304248
1.35	0.372498	0.322134166667	0.57325462963	5.55014702134	3.72336907092	4.98280727807
1.4	0.389305	0.347954444444	0.374865123457	5.74213323906	4.03364982683	6.73891016742
1.45	0.4076555	0.363484722222	0.0835797839506	5.9515727493	4.4118044981	8.09100165585
1.5	0.426349	0.361483888889	-0.331990123457	6.17846555206	4.88692190558	8.20951166679
1.55	0.4446995	0.335473055556	-0.860675925926	6.44026493986	5.3329504922	6.1032655633
1.6	0.4611635	0.278306388889	-1.42487916667	6.71951762018	5.59474988	2.07931201009
1.65	0.4741975	0.185601111111	-1.8137183642	7.01622359302	5.52687596465	-1.75071607067
1.7	0.4802	0.0809861111111	-1.86257469136	7.27802298082	5.30386167134	-3.45833759192
1.75	0.481572	-0.0109569444444	-1.66709645062	7.53982236862	5.15841756701	-4.4118044981
1.8	0.478485	-0.0880366666667	-1.38872654321	7.80162175641	4.87722563196	-5.30062958013
1.85	0.4721395	-0.149109722222	-1.11670848765	8.02851455917	4.57664114967	-5.1282513824
1.9	0.46305	-0.197129722222	-0.905774074074	8.25540736193	4.34393058274	-4.37409676734
1.95	0.452074	-0.236384166667	-0.773073302469	8.46484687217	4.10152374219	-2.74189070761
2	0.4392115	-0.27097	-0.709872376543	8.65683308989	4.04334610045	-0.59793687337
2.05	0.4251485	-0.307080277778	-0.642436882716	8.86627260013	4.0627386477	1.0773637358
2.1	0.408513	-0.341094444444	-0.447911419753	9.05825881785	4.18879020479	1.84229198822
